X,Y,ID,Type_C_0_S,NAME_EVENT,CRUST_BLK,NAME_PART,PLATEID,area_km2,StartDate,EndDate,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-140.808785644655,64.9768189434102,,,Franklin (extended),,,,4516715.2044650130,,,"0","0","0","0",0.00000000000000,277.17176205103920
-141.125781824663,65.0647375862895,,,Franklin (extended),,,,4516715.2044650130,,,"1","0","0","1",0.32896240804370,283.96137924061622
-141.275562101279,65.0977276932625,,,Franklin (extended),,,,4516715.2044650130,,,"2","0","0","2",0.48233280421317,297.49049015143066
-141.439137470232,65.2479298833213,,,Franklin (extended),,,,4516715.2044650130,,,"3","0","0","3",0.70440846525368,335.78604277037203
-141.446248843257,65.6605195900884,,,Franklin (extended),,,,4516715.2044650130,,,"4","0","0","4",1.11705945308300,24.20114944646170
-140.974650814113,66.0648743845008,,,Franklin (extended),,,,4516715.2044650130,,,"5","0","0","5",1.73827398998388,51.42923161670662
-140.282658653513,66.5775066113385,,,Franklin (extended),,,,4516715.2044650130,,,"6","0","0","6",2.59946209389918,58.96564520691902
-138.858678255397,67.2578525106919,,,Franklin (extended),,,,4516715.2044650130,,,"7","0","0","7",4.17762264244472,61.78432543763516
-136.711870050175,68.5423815429809,,,Franklin (extended),,,,4516715.2044650130,,,"8","0","0","8",6.67938208427799,56.08780488074202
-135.647936381223,69.3420905368478,,,Franklin (extended),,,,4516715.2044650130,,,"9","0","0","9",8.01035515943779,58.57689933003098
-132.985968264481,70.6355763642788,,,Franklin (extended),,,,4516715.2044650130,,,"10","0","0","10",10.96994632044572,67.12764532994140
-130.225138042181,71.6311137807766,,,Franklin (extended),,,,4516715.2044650130,,,"11","0","0","11",13.90478503220041,68.15195607830412
-127.981114229281,72.6239877153284,,,Franklin (extended),,,,4516715.2044650130,,,"12","0","0","12",16.35864760430482,59.19506482246032
-123.718993935242,75.9232120604097,,,Franklin (extended),,,,4516715.2044650130,,,"13","0","0","13",21.74850388068506,62.21418703623334
-119.542149457923,77.2665720065365,,,Franklin (extended),,,,4516715.2044650130,,,"14","0","0","14",26.13605966181920,76.31544224398958
-116.70612917307,77.7432071629926,,,Franklin (extended),,,,4516715.2044650130,,,"15","0","0","15",29.01185383534171,79.87461367764764
-113.653921364321,78.3205086183955,,,Franklin (extended),,,,4516715.2044650130,,,"16","0","0","16",32.11817794563692,80.62588323051980
-109.794915834534,78.8654465320591,,,Franklin (extended),,,,4516715.2044650130,,,"17","0","0","17",36.01546944213484,82.64623643502938
-104.608430401698,79.471949096974,,,Franklin (extended),,,,4516715.2044650130,,,"18","0","0","18",41.23729637399214,82.49441502513632
-99.7665538599682,80.1818715717574,,,Franklin (extended),,,,4516715.2044650130,,,"19","0","0","19",46.13094106538058,83.27678080462398
-96.2242817204059,80.4983280457681,,,Franklin (extended),,,,4516715.2044650130,,,"20","0","0","20",49.68732077101694,76.33316941096966
-93.8155699695336,81.4827066237526,,,Franklin (extended),,,,4516715.2044650130,,,"21","0","0","21",52.28941482842248,75.09469697251249
-90.0390442546936,81.9853974813796,,,Franklin (extended),,,,4516715.2044650130,,,"22","0","0","22",56.09925007068554,83.38494434451285
-84.6259559293945,82.5207416906832,,,Franklin (extended),,,,4516715.2044650130,,,"23","0","0","23",61.53874624587712,85.47941715024726
-80.0662064162207,82.791088704371,,,Franklin (extended),,,,4516715.2044650130,,,"24","0","0","24",66.10650314951140,86.89294128852472
-75.2158618655661,83.0300946653418,,,Franklin (extended),,,,4516715.2044650130,,,"25","0","0","25",70.96273276820170,87.62628192238409
-71.9517428781062,83.1398826971765,,,Franklin (extended),,,,4516715.2044650130,,,"26","0","0","26",74.22869758372406,89.89480531870026
-65.2222158498253,82.938272061612,,,Franklin (extended),,,,4516715.2044650130,,,"27","0","0","27",80.96124397218188,94.92596192509725
-59.4146225666779,82.1080155339935,,,Franklin (extended),,,,4516715.2044650130,,,"28","0","0","28",86.82788403648712,163.82063079065659
-61.0346594739162,80.724635140367,,,Franklin (extended),,,,4516715.2044650130,,,"29","0","0","29",88.95820347128658,228.95352989382397
-62.5248947108577,79.4016216760144,,,Franklin (extended),,,,4516715.2044650130,,,"30","0","0","30",90.95098185542275,226.69113104817117
-64.0221277978397,77.9033721034112,,,Franklin (extended),,,,4516715.2044650130,,,"31","0","0","31",93.06910807889469,219.51747420837401
-65.198848354754,76.1623794779975,,,Franklin (extended),,,,4516715.2044650130,,,"32","0","0","32",95.17047111055044,220.37681057355587
-65.8596306852076,75.539672943924,,,Franklin (extended),,,,4516715.2044650130,,,"33","0","0","33",96.07843405903320,225.78985859794699
-66.5759691737559,74.8203397949166,,,Franklin (extended),,,,4516715.2044650130,,,"34","0","0","34",97.09360941799171,216.26014387102029
-66.9285928554289,74.1469725860391,,,Franklin (extended),,,,4516715.2044650130,,,"35","0","0","35",97.85371918563592,192.94073212196591
-66.90314820189,73.3181131998424,,,Franklin (extended),,,,4516715.2044650130,,,"36","0","0","36",98.68296903488525,151.58339303811005
-66.1967523880339,72.8248640472434,,,Franklin (extended),,,,4516715.2044650130,,,"37","0","0","37",99.54453143678840,118.34796344615394
-64.7755990798859,72.2572831151398,,,Franklin (extended),,,,4516715.2044650130,,,"38","0","0","38",101.07483364215416,134.65105695733502
-64.2681089188447,71.0301973301971,,,Franklin (extended),,,,4516715.2044650130,,,"39","0","0","39",102.40272135847738,145.20809760019310
-63.3258156541307,70.15502749482,,,Franklin (extended),,,,4516715.2044650130,,,"40","0","0","40",103.68873801368809,134.81165267592280
-62.222046722591,68.9821616527077,,,Franklin (extended),,,,4516715.2044650130,,,"41","0","0","41",105.29930317468786,140.80890789855394
-61.504391930368,67.9618223122988,,,Franklin (extended),,,,4516715.2044650130,,,"42","0","0","42",106.54674887305983,146.20073118627988
-60.9696697833276,67.1217628951377,,,Franklin (extended),,,,4516715.2044650130,,,"43","0","0","43",107.54255387349740,173.31221319979016
-61.3138051596313,66.1280916091215,,,Franklin (extended),,,,4516715.2044650130,,,"44","0","0","44",108.59412972995136,214.42376225214747
-62.0869873373729,65.4734325481838,,,Franklin (extended),,,,4516715.2044650130,,,"45","0","0","45",109.60723839443168,233.03186052048849
-64.2157062205823,64.054749409765,,,Franklin (extended),,,,4516715.2044650130,,,"46","0","0","46",112.16538341201104,245.02581389348853
-66.3926377666944,63.4195338110928,,,Franklin (extended),,,,4516715.2044650130,,,"47","0","0","47",114.43309807952426,254.77501556939191
-67.9672874236457,63.0215821127555,,,Franklin (extended),,,,4516715.2044650130,,,"48","0","0","48",116.05725542915089,256.31307547202880
-69.8349485043171,62.5838422212413,,,Franklin (extended),,,,4516715.2044650130,,,"49","0","0","49",117.97552916479901,257.45748535371098
-71.5418816642558,62.2243148218294,,,Franklin (extended),,,,4516715.2044650130,,,"50","0","0","50",119.71991466216656,254.93571873413151
-74.0277503439339,61.4053513916673,,,Franklin (extended),,,,4516715.2044650130,,,"51","0","0","51",122.33721177799951,252.51344294664631
-75.011196315013,61.1095779220513,,,Franklin (extended),,,,4516715.2044650130,,,"52","0","0","52",123.36417230468024,265.80386842935309
-77.143671731508,61.422440477936,,,Franklin (extended),,,,4516715.2044650130,,,"53","0","0","53",125.51947608392587,280.53917681934706
-79.5708017581451,61.9708355464666,,,Franklin (extended),,,,4516715.2044650130,,,"54","0","0","54",128.00778822620057,281.84332875498296
-81.8944413009955,62.4206037774175,,,Franklin (extended),,,,4516715.2044650130,,,"55","0","0","55",130.37455652636666,280.72401783328309
-84.142594431026,62.8369993006245,,,Franklin (extended),,,,4516715.2044650130,,,"56","0","0","56",132.66094619740105,280.24809469440851
-89.8313109495099,63.8403771633861,,,Franklin (extended),,,,4516715.2044650130,,,"57","0","0","57",138.43747307461291,276.12150626175236
-92.0485283747832,63.9271060998516,,,Franklin (extended),,,,4516715.2044650130,,,"58","0","0","58",140.65638610115454,271.83377171526081
-94.6444070485014,63.9917945642419,,,Franklin (extended),,,,4516715.2044650130,,,"59","0","0","59",143.25307065767859,269.06229640235870
-97.7950074027288,63.8099718614173,,,Franklin (extended),,,,4516715.2044650130,,,"60","0","0","60",146.40891318976418,265.47427984691501
-100.604831081419,63.5271100132882,,,Franklin (extended),,,,4516715.2044650130,,,"61","0","0","61",149.23293867308632,263.10668392399475
-102.710002142854,63.2298200025908,,,Franklin (extended),,,,4516715.2044650130,,,"62","0","0","62",151.35899759709670,263.81353729654160
-104.815458149088,63.0702227965078,,,Franklin (extended),,,,4516715.2044650130,,,"63","0","0","63",153.47049381124822,264.32818711426830
-107.331283208982,62.760926244728,,,Franklin (extended),,,,4516715.2044650130,,,"64","0","0","64",156.00526009020444,263.38576378114624
-109.761041567146,62.4961257330328,,,Franklin (extended),,,,4516715.2044650130,,,"65","0","0","65",158.44940513296785,271.64408553852320
-111.241785700093,62.7441258025765,,,Franklin (extended),,,,4516715.2044650130,,,"66","0","0","66",159.95077358266656,279.46374117327457
-112.981410321698,63.0327313339666,,,Franklin (extended),,,,4516715.2044650130,,,"67","0","0","67",161.71417568565960,281.12537972662591
-114.800812476264,63.4471288404444,,,Franklin (extended),,,,4516715.2044650130,,,"68","0","0","68",163.58017394220099,282.58192632362557
-117.427446776178,64.0213996413792,,,Franklin (extended),,,,4516715.2044650130,,,"69","0","0","69",166.26885292978761,281.51041113961327
-119.748922851656,64.4595474887698,,,Franklin (extended),,,,4516715.2044650130,,,"70","0","0","70",168.63131450729401,278.90201459384014
-123.291708071577,64.9018253717755,,,Franklin (extended),,,,4516715.2044650130,,,"71","0","0","71",172.20159976764549,278.99445206193701
-124.043277937324,65.0461872215861,,,Franklin (extended),,,,4516715.2044650130,,,"72","0","0","72",172.96690859862809,278.52479393195409
-126.12577575164,65.2715590773417,,,Franklin (extended),,,,4516715.2044650130,,,"73","0","0","73",175.06156599782145,275.44064157561979
-127.05313582902,65.3478779550599,,,Franklin (extended),,,,4516715.2044650130,,,"74","0","0","74",175.99206118008419,276.24988854431501
-128.331281547583,65.5228510777309,,,Franklin (extended),,,,4516715.2044650130,,,"75","0","0","75",177.28212787275515,274.78966934227657
-129.447787971134,65.5576310144242,,,Franklin (extended),,,,4516715.2044650130,,,"76","0","0","76",178.39917587433260,270.35259739288682
-131.067415393893,65.5271255456594,,,Franklin (extended),,,,4516715.2044650130,,,"77","0","0","77",180.01909055485626,268.38020686427024
-133.004597770599,65.4540420683243,,,Franklin (extended),,,,4516715.2044650130,,,"78","0","0","78",181.95765104018551,266.32430103830285
-134.799976097717,65.2909391654934,,,Franklin (extended),,,,4516715.2044650130,,,"79","0","0","79",183.76042276572289,262.23868159204648
-135.988682533569,65.0742331086887,,,Franklin (extended),,,,4516715.2044650130,,,"80","0","0","80",184.96872095147509,264.25520850827627
-140.808785644655,64.9768189434102,,,Franklin (extended),,,,4516715.2044650130,,,"81","0","0","81",189.78980833100815,277.17176205103920
